x,y
2006.50,4467
2006.75,5284
2007,5797
2007.25,6992
2007.50,7238
2007.75,7495
2008,7301
2008.25,7209
2008.50,6694
2008.75,6384
2009,6241
2009.25,5891
2009.50,5504
2009.75,5774
2010,5495
2010.25,5278
2010.50,5461
2010.75,5617
2011,6004
2011.25,6205
2011.50,6430
2011.75,6313
2012,6106
2012.25,6604
2012.50,6439
2012.75,6002
2013,5732
2013.25,6083
2013.50,6646
2013.75,6003
2014,6072
2014.25,5648
2014.50,6037
2014.75,5877
2015,5778
2015.25,6162
2015.50,6710
2015.75,6334
2016,6209
2016.25,6391
2016.50,6631
2016.75,6975
2017,6710
2017.25,6732
2017.50,7175
2017.75,6902
2018,6851
2018.25,7080
2018.50,7418
2018.75,7803
2019,7990
2019.25,8181
2019.50,8321
2019.75,8027
2020,8251
2020.25,7974
2020.50,8240
2020.75,8133
2021,9440
2021.25,9880
2021.50,10038
