x,y
2006.50,2782
2006.75,4561
2007,4966
2007.25,5817
2007.50,6483
2007.75,6069
2008,6321
2008.25,6119
2008.50,5816
2008.75,6208
2009,6063
2009.25,5554
2009.50,5582
2009.75,5797
2010,5981
2010.25,5416
2010.50,5470
2010.75,5317
2011,5481
2011.25,5483
2011.50,5288
2011.75,5370
2012,5219
2012.25,5131
2012.50,4474
2012.75,5209
2013,4613
2013.25,4564
2013.50,4328
2013.75,4624
2014,4817
2014.25,4716
2014.50,4734
2014.75,4617
2015,4874
2015.25,5126
2015.50,4962
2015.75,4879
2016,4699
2016.25,5155
2016.50,5030
2016.75,5141
2017,4971
2017.25,5754
2017.50,5799
2017.75,5920
2018,6098
2018.25,6428
2018.50,6562
2018.75,6743
2019,6810
2019.25,7081
2019.50,7297
2019.75,7384
2020,7671
2020.25,7727
2020.50,7993
2020.75,7942
2021,8017
2021.25,8549
2021.50,8775
