x,y
2006.50,3523
2006.75,3735
2007,3806
2007.25,5094
2007.50,5698
2007.75,5718
2008,5791
2008.25,5113
2008.50,5154
2008.75,5772
2009,4995
2009.25,5411
2009.50,4524
2009.75,4866
2010,5303
2010.25,4511
2010.50,5071
2010.75,4914
2011,5329
2011.25,4417
2011.50,4697
2011.75,4604
2012,4679
2012.25,4443
2012.50,5004
2012.75,5685
2013,5104
2013.25,5232
2013.50,4670
2013.75,4529
2014,4532
2014.25,4974
2014.50,5015
2014.75,4907
2015,4795
2015.25,4898
2015.50,5003
2015.75,5049
2016,5030
2016.25,4868
2016.50,5173
2016.75,5038
2017,5114
2017.25,5095
2017.50,5226
2017.75,5266
2018,5217
2018.25,5464
2018.50,5487
2018.75,5846
2019,6539
2019.25,6275
2019.50,6746
2019.75,6880
2020,6996
2020.25,6829
2020.50,6885
2020.75,7246
2021,7371
2021.25,7839
2021.50,8340
