x,y
2006.50,2028
2006.75,2160
2007,2542
2007.25,3013
2007.50,3870
2007.75,3612
2008,3685
2008.25,3968
2008.50,3622
2008.75,3952
2009,3777
2009.25,3563
2009.50,3541
2009.75,3303
2010,3722
2010.25,3455
2010.50,3632
2010.75,3528
2011,3607
2011.25,3500
2011.50,3418
2011.75,3356
2012,3318
2012.25,3399
2012.50,3371
2012.75,3357
2013,3116
2013.25,3222
2013.50,3254
2013.75,3301
2014,3378
2014.25,3339
2014.50,3563
2014.75,3348
2015,3542
2015.25,3444
2015.50,3434
2015.75,3442
2016,3531
2016.25,3500
2016.50,3636
2016.75,3577
2017,3528
2017.25,3551
2017.50,3805
2017.75,3698
2018,3981
2018.25,4018
2018.50,4204
2018.75,4200
2019,4438
2019.25,4521
2019.50,4749
2019.75,4895
2020,5106
2020.25,5327
2020.50,5278
2020.75,5376
2021,5370
2021.25,5481
2021.50,5728
