x,y
2006.50,6816
2006.75,7089
2007,7192
2007.25,7856
2007.50,8060
2007.75,7985
2008,8000
2008.25,8027
2008.50,7814
2008.75,7518
2009,7373
2009.25,7169
2009.50,6866
2009.75,6981
2010,6985
2010.25,6920
2010.50,6834
2010.75,6789
2011,6886
2011.25,7082
2011.50,6958
2011.75,6711
2012,6637
2012.25,6616
2012.50,6711
2012.75,6417
2013,5926
2013.25,6299
2013.50,5895
2013.75,5782
2014,6000
2014.25,6172
2014.50,5970
2014.75,5722
2015,5861
2015.25,5896
2015.50,6312
2015.75,6357
2016,6239
2016.25,6343
2016.50,6298
2016.75,6451
2017,6373
2017.25,6583
2017.50,6810
2017.75,6755
2018,6796
2018.25,6778
2018.50,6945
2018.75,7199
2019,7426
2019.25,7739
2019.50,7788
2019.75,8238
2020,8308
2020.25,8608
2020.50,8893
2020.75,8735
2021,8896
2021.25,9403
2021.50,9736
