x,y
2006.50,5193
2006.75,6349
2007,6267
2007.25,7309
2007.50,7193
2007.75,6715
2008,6777
2008.25,6629
2008.50,6294
2008.75,6530
2009,6110
2009.25,6065
2009.50,5975
2009.75,6155
2010,6182
2010.25,6115
2010.50,6296
2010.75,6284
2011,6394
2011.25,6478
2011.50,6369
2011.75,6224
2012,6489
2012.25,6011
2012.50,6096
2012.75,6115
2013,5931
2013.25,5680
2013.50,5884
2013.75,5827
2014,5731
2014.25,5937
2014.50,5930
2014.75,5834
2015,6197
2015.25,6157
2015.50,6095
2015.75,5939
2016,5884
2016.25,5740
2016.50,5820
2016.75,5951
2017,5979
2017.25,6038
2017.50,6347
2017.75,6276
2018,6215
2018.25,6400
2018.50,6621
2018.75,6849
2019,6626
2019.25,6956
2019.50,7135
2019.75,7414
2020,7766
2020.25,8061
2020.50,8100
2020.75,8118
2021,8366
2021.25,9103
2021.50,9372
