x,y
2006.50,2860
2006.75,3642
2007,4209
2007.25,5403
2007.50,5212
2007.75,5076
2008,5103
2008.25,5041
2008.50,5214
2008.75,5542
2009,4746
2009.25,5101
2009.50,4755
2009.75,5275
2010,5020
2010.25,4846
2010.50,4936
2010.75,4905
2011,5066
2011.25,5123
2011.50,4907
2011.75,4793
2012,4610
2012.25,4668
2012.50,4473
2012.75,4536
2013,4629
2013.25,4531
2013.50,4388
2013.75,4423
2014,4433
2014.25,4533
2014.50,4661
2014.75,4656
2015,4578
2015.25,4687
2015.50,4676
2015.75,4697
2016,4738
2016.25,4646
2016.50,4727
2016.75,4850
2017,4792
2017.25,4940
2017.50,4911
2017.75,5148
2018,5211
2018.25,5206
2018.50,5356
2018.75,5507
2019,5631
2019.25,5853
2019.50,5881
2019.75,6026
2020,6249
2020.25,6080
2020.50,6406
2020.75,6624
2021,6500
2021.25,6676
2021.50,7451
