x,y
2006.50,1905
2006.75,2160
2007,3360
2007.25,3749
2007.50,3981
2007.75,4039
2008,4160
2008.25,3961
2008.50,3780
2008.75,4020
2009,3874
2009.25,3870
2009.50,3677
2009.75,3636
2010,3933
2010.25,3845
2010.50,3874
2010.75,3924
2011,3738
2011.25,3843
2011.50,3798
2011.75,3939
2012,3647
2012.25,3587
2012.50,3418
2012.75,3341
2013,3422
2013.25,3360
2013.50,3469
2013.75,3400
2014,3464
2014.25,3421
2014.50,3361
2014.75,3490
2015,3342
2015.25,3442
2015.50,3376
2015.75,3341
2016,3277
2016.25,3347
2016.50,3284
2016.75,3417
2017,3509
2017.25,3588
2017.50,3762
2017.75,3784
2018,4022
2018.25,3959
2018.50,4256
2018.75,4465
2019,4616
2019.25,4596
2019.50,4708
2019.75,4870
2020,5011
2020.25,5245
2020.50,5613
2020.75,5522
2021,5433
2021.25,5800
2021.50,6075
