x,y
2006.50,3621
2006.75,4726
2007,6445
2007.25,7243
2007.50,5426
2007.75,6865
2008,7598
2008.25,7070
2008.50,6854
2008.75,6768
2009,6365
2009.25,6284
2009.50,6146
2009.75,6130
2010,6436
2010.25,6632
2010.50,6304
2010.75,6591
2011,6264
2011.25,6536
2011.50,6155
2011.75,6219
2012,5932
2012.25,5880
2012.50,5978
2012.75,5339
2013,6147
2013.25,5998
2013.50,5913
2013.75,5868
2014,6146
2014.25,6116
2014.50,6022
2014.75,6225
2015,6307
2015.25,6209
2015.50,6228
2015.75,6234
2016,6246
2016.25,6298
2016.50,6195
2016.75,6304
2017,6263
2017.25,6260
2017.50,6379
2017.75,6382
2018,6430
2018.25,6735
2018.50,6849
2018.75,7017
2019,7056
2019.25,7087
2019.50,7102
2019.75,7396
2020,7423
2020.25,7431
2020.50,7459
2020.75,7636
2021,7960
2021.25,7928
2021.50,8022
