x,y
2006.50,3234
2006.75,3575
2007,3831
2007.25,4933
2007.50,5121
2007.75,4697
2008,5362
2008.25,5448
2008.50,5455
2008.75,5663
2009,5174
2009.25,4958
2009.50,5406
2009.75,5057
2010,4916
2010.25,4751
2010.50,4840
2010.75,4794
2011,4855
2011.25,4819
2011.50,5048
2011.75,4847
2012,4735
2012.25,4762
2012.50,4759
2012.75,4567
2013,4547
2013.25,4581
2013.50,4444
2013.75,4742
2014,4704
2014.25,4691
2014.50,4742
2014.75,4839
2015,4780
2015.25,4831
2015.50,4700
2015.75,4644
2016,4710
2016.25,5016
2016.50,4829
2016.75,4830
2017,4691
2017.25,5198
2017.50,5397
2017.75,5436
2018,5256
2018.25,5508
2018.50,5673
2018.75,5874
2019,5952
2019.25,6470
2019.50,6636
2019.75,6843
2020,6950
2020.25,6781
2020.50,7023
2020.75,7199
2021,7354
2021.25,7888
2021.50,8610
