x,y
2006.50,2888
2006.75,3133
2007,3755
2007.25,4083
2007.50,4321
2007.75,4647
2008,4438
2008.25,4699
2008.50,4794
2008.75,4651
2009,4616
2009.25,4426
2009.50,4330
2009.75,4320
2010,4175
2010.25,4303
2010.50,4392
2010.75,4346
2011,4153
2011.25,4171
2011.50,4161
2011.75,3990
2012,3996
2012.25,3944
2012.50,3811
2012.75,3750
2013,3808
2013.25,3741
2013.50,3848
2013.75,3825
2014,3797
2014.25,3715
2014.50,3786
2014.75,3937
2015,3776
2015.25,3825
2015.50,3892
2015.75,3753
2016,3789
2016.25,4002
2016.50,4062
2016.75,4000
2017,4024
2017.25,4173
2017.50,4318
2017.75,4319
2018,4355
2018.25,4566
2018.50,4785
2018.75,4824
2019,5077
2019.25,5123
2019.50,5409
2019.75,5634
2020,5619
2020.25,5841
2020.50,6185
2020.75,6126
2021,6260
2021.25,6466
2021.50,6832
