x,y
2006.50,5605
2006.75,6186
2007,7302
2007.25,7523
2007.50,7879
2007.75,8571
2008,8535
2008.25,8611
2008.50,8325
2008.75,8149
2009,7543
2009.25,7461
2009.50,7585
2009.75,7680
2010,8173
2010.25,7974
2010.50,7940
2010.75,7441
2011,8037
2011.25,7527
2011.50,7423
2011.75,7226
2012,6967
2012.25,7043
2012.50,6757
2012.75,6466
2013,6990
2013.25,7018
2013.50,7173
2013.75,7427
2014,7298
2014.25,7316
2014.50,7446
2014.75,7315
2015,7396
2015.25,7510
2015.50,7557
2015.75,7462
2016,7639
2016.25,7583
2016.50,7696
2016.75,7686
2017,7562
2017.25,7683
2017.50,7820
2017.75,7751
2018,7965
2018.25,8183
2018.50,8538
2018.75,8565
2019,8771
2019.25,8932
2019.50,9188
2019.75,9476
2020,9819
2020.25,9438
2020.50,10183
2020.75,10240
2021,10666
2021.25,10671
2021.50,10992
