x,y
2006.50,6232
2006.75,7143
2007,7730
2007.25,8696
2007.50,9137
2007.75,9034
2008,8921
2008.25,8546
2008.50,8528
2008.75,9046
2009,8406
2009.25,8406
2009.50,7949
2009.75,8497
2010,8620
2010.25,8933
2010.50,8493
2010.75,8024
2011,7915
2011.25,7920
2011.50,7920
2011.75,7889
2012,7601
2012.25,7522
2012.50,7247
2012.75,7238
2013,6687
2013.25,6867
2013.50,6971
2013.75,7189
2014,7170
2014.25,7332
2014.50,7365
2014.75,7387
2015,7335
2015.25,7308
2015.50,7447
2015.75,7401
2016,7434
2016.25,7355
2016.50,7309
2016.75,7556
2017,7429
2017.25,7821
2017.50,8020
2017.75,8054
2018,8047
2018.25,8394
2018.50,8604
2018.75,8762
2019,8985
2019.25,9243
2019.50,9457
2019.75,9812
2020,10003
2020.25,10288
2020.50,10470
2020.75,10671
2021,10838
2021.25,10576
2021.50,10905
