x,y
2006.50,3211
2006.75,3777
2007,7063
2007.25,5289
2007.50,5836
2007.75,5625
2008,5268
2008.25,5349
2008.50,5891
2008.75,5513
2009,5218
2009.25,5095
2009.50,5105
2009.75,5472
2010,5628
2010.25,5938
2010.50,5614
2010.75,5735
2011,5905
2011.25,5949
2011.50,6098
2011.75,5720
2012,5606
2012.25,5808
2012.50,5521
2012.75,5593
2013,5430
2013.25,5603
2013.50,5605
2013.75,5693
2014,5668
2014.25,5860
2014.50,5921
2014.75,5793
2015,5988
2015.25,6068
2015.50,6044
2015.75,6109
2016,5993
2016.25,6218
2016.50,6162
2016.75,6163
2017,6136
2017.25,6314
2017.50,6433
2017.75,6389
2018,6508
2018.25,6651
2018.50,6750
2018.75,6905
2019,7032
2019.25,7435
2019.50,7661
2019.75,7634
2020,8354
2020.25,8041
2020.50,8109
2020.75,8233
2021,8423
2021.25,8578
2021.50,8891
