x,y
2006.50,4734
2006.75,4932
2007,5732
2007.25,6217
2007.50,6862
2007.75,5965
2008,5758
2008.25,5891
2008.50,6105
2008.75,5867
2009,5753
2009.25,5615
2009.50,5927
2009.75,5753
2010,5871
2010.25,6102
2010.50,5990
2010.75,6050
2011,5883
2011.25,6004
2011.50,5918
2011.75,5728
2012,5533
2012.25,5357
2012.50,5477
2012.75,5401
2013,4999
2013.25,4979
2013.50,5094
2013.75,5037
2014,5100
2014.25,5087
2014.50,5100
2014.75,5194
2015,5245
2015.25,5116
2015.50,5263
2015.75,5177
2016,5216
2016.25,5201
2016.50,5332
2016.75,5480
2017,5390
2017.25,5445
2017.50,5764
2017.75,5906
2018,5841
2018.25,6077
2018.50,6159
2018.75,6191
2019,6267
2019.25,6482
2019.50,6858
2019.75,7316
2020,7315
2020.25,7496
2020.50,7301
2020.75,7973
2021,8057
2021.25,8510
2021.50,8563
